player,player_id,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Emoni Bates,1641734,F,3.7,0.8,0.7,0.1,0.1,0.2,4.0,0.2,5.2,21.0,2025
Jamison Battle,1642419,F,7.1,0.9,2.68,0.29,0.17,0.46,1.9565217391304348,0.46,10.68,24.0,2025
Jamison Battle,1642419,F,3.43,0.37,1.47,0.17,0.03,0.4,0.9249999999999999,0.2,5.07,24.0,2026
Nicolas Batum,201587,G,4.01,1.08,2.79,0.67,0.46,0.44,2.4545454545454546,1.13,8.57,36.0,2025
Nicolas Batum,201587,G,5.0,0.79,2.64,0.82,0.44,0.64,1.234375,1.26,9.05,37.0,2026
Damion Baugh,1641878,G,7.27,3.73,3.33,1.0,0.13,2.07,1.8019323671497587,1.13,13.39,24.0,2025
Bradley Beal,203078,G,17.02,3.68,3.34,1.09,0.53,1.87,1.9679144385026737,1.62,23.79,32.0,2025
Bradley Beal,203078,G,8.17,1.67,0.83,0.5,0.0,1.5,1.1133333333333333,0.5,9.67,32.0,2026
Malik Beasley,1627736,G,16.29,1.7,2.61,0.89,0.06,1.01,1.683168316831683,0.95,20.54,28.0,2025
MarJon Beauchamp,1630699,F,2.0,0.31,1.23,0.12,0.04,0.5,0.62,0.16,3.2,24.0,2025
MarJon Beauchamp,1630699,F,4.0,0.67,1.0,0.0,0.0,0.33,2.0303030303030303,0.0,5.34,24.0,2025
MarJon Beauchamp,1630699,F,2.5,0.17,1.5,0.17,0.0,0.17,1.0,0.17,4.17,24.0,2025
MarJon Beauchamp,1630699,F,2.26,0.31,1.26,0.11,0.03,0.43,0.7209302325581396,0.14,3.54,24.0,2025
Reece Beekman,1641736,G,1.0,0.5,0.5,0.5,0.0,0.0,inf,0.5,2.5,23.0,2025
Reece Beekman,1641736,G,2.68,1.82,1.12,0.94,0.06,0.62,2.935483870967742,1.0,6.0,23.0,2025
Reece Beekman,1641736,G,2.58,1.75,1.08,0.92,0.06,0.58,3.017241379310345,0.98,5.81,23.0,2025
Saddiq Bey,1630180,G,15.06,2.25,5.75,0.92,0.06,0.58,3.8793103448275863,0.98,23.46,26.0,2026
Goga Bitadze,1629048,C,7.17,1.96,6.61,0.7,1.4,1.03,1.9029126213592231,2.1,16.81,25.0,2025
Goga Bitadze,1629048,C,6.08,1.27,5.27,0.81,1.22,0.54,2.3518518518518516,2.03,14.11,26.0,2026
Bismack Biyombo,202687,C,5.14,1.11,5.64,0.57,0.82,0.96,1.1562500000000002,1.39,12.32,32.0,2025
Bismack Biyombo,202687,C,0.82,0.27,0.64,0.27,0.09,0.27,1.0,0.36,1.82,33.0,2026
Anthony Black,1641710,G,9.44,3.08,2.95,1.1,0.62,1.78,1.7303370786516854,1.72,15.41,21.0,2025
Anthony Black,1641710,G,15.83,4.0,4.15,1.32,0.66,2.39,1.6736401673640167,1.98,23.57,21.0,2026
Bogdan Bogdanović,203992,G,10.0,2.04,2.75,0.83,0.25,1.54,1.3246753246753247,1.08,14.33,32.0,2025
Bogdan Bogdanović,203992,G,11.43,3.23,3.1,0.7,0.17,1.23,2.6260162601626016,0.87,17.4,32.0,2025
Bogdan Bogdanović,203992,G,10.8,2.7,2.94,0.76,0.2,1.37,1.9708029197080292,0.96,16.03,32.0,2025
